id,activities_id,height_id,sky_id,observer_id,timestamp,address_country,address_state,location,see_aurora,sky_other,time_start,time_end,on_going,height_other,activities_other,colors_other,types_other,comment,image,st_y,st_x,colors,types
573,acti,n45,,560,2015-01-05 06:31:22.733891+00,Canada,AB,0101000020E6100000EA24D0730EDA5BC056A438443D5C4C40,t,,2015-01-05 05:30:00+00,2015-01-05 06:30:00+00,t,,,Purple,,,y,56.7206197,-111.4071321,"red, gree, pink","arcs, patc"
574,quie,n45,,692,2015-01-05 08:47:15.181375+00,United States,AK,0101000020E610000058250583CEB762C00A41C1830ACD4E40,t,,2015-01-05 08:30:00+00,2015-01-05 08:45:00+00,f,,,,,,n,61.60188338,-149.743959,"whit, gree",arcs
581,acti,whol,,667,2015-01-06 18:37:07.833055+00,Sweden,Norrbottens l_ùn,0101000020E6100000FEE6DF81643234409464CAD915F65040,t,,2015-01-05 19:30:00+00,2015-01-05 22:00:00+00,t,,,,,,y,67.84508366,20.19684612,"whit, gree",arcs
578,quie,n,,596,2015-01-06 17:27:13.913841+00,_____Å_Å___è,___________∏_Å_____è ___„__.,0101000020E6100000A489C240E3D140408BB1CC0C0DE65040,t,,2015-01-06 06:30:00+00,2015-01-06 06:45:00+00,f,,,,,,n,67.59454651,33.63974771,gree,"glow, patc"
594,acti,n45,,199,2015-01-09 02:18:39.564667+00,United States,AK,0101000020E610000079C8FAFDDFBC62C037943890D19B4E40,t,,2015-01-06 08:30:00+00,2015-01-06 14:30:00+00,t,Also Overhead,From northwest all the way to the North East,,,"Usually hardly ever see it right over the city of Anchorage, but this time it started to the west and always ended up to the east, over Anchorage, then started the same cycle all over again, many times.",y,61.21733287,-149.9023428,"red, gree",arcs
577,quie,over,,595,2015-01-06 15:18:29.082298+00,Schweden,V_ùrmlands l_ùn,0101000020E6100000DE486804CD222940F55362AF80D14D40,t,,2015-01-06 15:15:00+00,2015-01-06 15:30:00+00,t,,,,,,n,59.63673966,12.56797041,gree,glow
585,very,whol,,699,2015-01-07 13:09:46.449266+00,United States,AK,0101000020E6100000958DC9379CE262C0763BFE6C443D4E40,t,,2015-01-07 06:45:00+00,2015-01-07 13:15:00+00,f,,,,"streaks, trails many shapes",,n,60.47865069,-151.0815696,"red, whit, gree","glow, arcs, patc"
582,acti,whol,,,2015-01-07 09:34:38.47446+00,United States,AK,0101000020E6100000B2355175C8C362C05BC168144D284F40,t,,2015-01-07 08:00:00+00,2015-01-07 09:15:00+00,t,,,,Coronas,,n,62.31485229,-150.11822,"whit, gree, pink","glow, arcs, patc"
583,,,,,2015-01-07 09:43:35.269388+00,United States,AK,0101000020E610000047657FEA6ABA62C0BA60F97290CF4E40,t,,2015-01-07 09:30:00+00,2015-01-07 09:45:00+00,t,,,,Streaks north to south,,y,61.62159574,-149.8255513,"whit, gree","glow, arcs"
584,acti,whol,,,2015-01-07 12:54:20.554535+00,United States,AK,0101000020E6100000F26A302B88BD62C01C07E596759B4E40,t,,2015-01-07 10:45:00+00,2015-01-07 13:00:00+00,t,45 degrees north,,,,,n,61.21452604,-149.9228722,"red, whit, gree","glow, arcs, patc"
