id,activities_id,height_id,sky_id,observer_id,timestamp,address_country,address_state,location,see_aurora,sky_other,time_start,time_end,on_going,height_other,activities_other,colors_other,types_other,comment,image,st_y,st_x,colors,types
2286,,whol,,,2016-01-01 00:29:56.400167+00,Norge,Nord-Tr__ndelag,0101000020E6100000A48E3D3DF35126408AF2AE69DDD24F40,t,,2016-01-01 00:15:00+00,2016-01-01 00:30:00+00,t,,,,,,n,63.64738198,11.16005889,"red, gree",
2288,acti,whol,,1423,2016-01-01 00:45:08.110659+00,Norway,M__re og Romsdal,0101000020E6100000EA315948B9732140DDAB7CA0EB504F40,t,,2015-12-31 22:30:00+00,2016-01-01 00:00:00+00,f,,,,,,n,62.63219076,8.726022969,gree,glow
2289,quie,n,,,2016-01-01 00:47:03.93644+00,Canada,AB,0101000020E6100000D3CBC6A6A2835CC0FB5D39BB08A54940,t,,2016-01-01 00:45:00+00,2016-01-01 01:00:00+00,f,,,,,,y,51.28932896,-114.0568025,gree,arcs
2290,quie,n,,2990,2016-01-01 00:54:30.365852+00,United Kingdom,,0101000020E610000046DD1189D6F40FC0ABF9321832164C40,t,,2015-12-31 23:15:00+00,2016-01-01 00:00:00+00,f,,,,,,n,56.17340376,-3.994549819,whit,glow
2291,,,clea,,2016-01-01 01:06:41.58379+00,United Kingdom,,0101000020E61000001020CCB5FCBEF3BFBAF8F6D59B4E4A40,f,,2016-01-01 01:00:00+00,2016-01-01 01:15:00+00,f,,,,,,n,52.61413073,-1.234127722,,
2292,quie,n,,228,2016-01-01 01:44:52.208348+00,Canada,AB,0101000020E61000008DB360B35E885CC0DCF4EB8959E54940,t,,2016-01-01 01:30:00+00,2016-01-01 01:45:00+00,t,,,,,,n,51.79179501,-114.1307801,gree,arcs
2295,quie,n45,,1552,2016-01-01 02:04:50.503847+00,Canada,AB,0101000020E6100000BBBBA04367755CC0F1CA9CD704D34A40,t,,2016-01-01 01:00:00+00,2016-01-01 02:15:00+00,t,,,Blue,Pillars,,y,53.64858527,-113.8344277,"gree, pink",arcs
2299,quie,n,,3642,2016-01-01 02:40:33.245493+00,Canada,AB,0101000020E6100000E330697678D95BC00AA36B64BA5B4C40,t,,2016-01-01 02:15:00+00,2016-01-01 02:45:00+00,f,,,,,,y,56.71662574,-111.3979775,gree,arcs
2301,quie,n,,1429,2016-01-01 05:20:57.755835+00,Canada,AB,0101000020E6100000699503C4C5875CC0B067290578C64940,t,,2016-01-01 01:00:00+00,2016-01-01 02:00:00+00,f,,,,,,y,51.55053772,-114.1214457,gree,arcs
2302,quie,whol,,1153,2016-01-01 05:45:49.184598+00,Canada,YT,0101000020E6100000B9766B7D4AE260C06981D0912B5C4E40,t,,2016-01-01 04:30:00+00,2016-01-01 05:15:00+00,f,,,,,Very inactive. Eventually the clouds took over ___Ø,n,60.72007964,-135.071593,whit,"glow, arcs"
2303,quie,n,,2823,2016-01-01 06:14:26.811476+00,United States,MT,0101000020E6100000F7DA885551D25BC0FD0069E5B1BD4740,t,,2016-01-01 05:15:00+00,2016-01-01 05:45:00+00,t,,,,,,n,47.48199146,-111.2862142,whit,glow
2305,acti,whol,,2953,2016-01-01 06:45:12.359629+00,Canada,AB,0101000020E6100000D2E30695F2D95BC0997DEDF2155A4C40,t,,2016-01-01 02:30:00+00,2016-01-01 06:45:00+00,t,,From pale to vibrant and bright racing across the sky,,Dancing,,n,56.70379483,-111.405431,"red, gree, pink","glow, arcs, patc"
2306,acti,whol,,,2016-01-01 07:32:48.242175+00,United States,AK,0101000020E610000043F68B60AAC462C08A05DAFC6F264F40,t,,2016-01-01 06:00:00+00,2016-01-01 07:45:00+00,f,,,,,Happy New Year!,y,62.30029259,-150.145798,"red, whit, gree, pink","glow, arcs, patc"
2307,acti,n,,3179,2016-01-01 07:45:01.412684+00,United States,AK,0101000020E6100000F443A47D94BD62C041B4436E059B4E40,t,,2016-01-01 05:00:00+00,2016-01-01 07:00:00+00,t,,,,,,n,61.21110323,-149.9243763,"whit, gree, pink",arcs
2308,acti,n,,,2016-01-01 09:06:29.916006+00,Canada,AB,0101000020E6100000EDDC7F95B45F5CC0527C70B207C44A40,t,,2016-01-01 09:00:00+00,2016-01-01 09:15:00+00,t,,,,,,n,53.53148489,-113.495397,"red, gree",arcs
2309,quie,n,,,2016-01-01 09:16:48.440388+00,United States,AK,0101000020E610000068568D7508BD62C064783563A29A4E40,t,,2015-12-31 09:00:00+00,2016-01-01 09:15:00+00,t,,,,,,n,61.20808067,-149.9072826,gree,glow
2313,,,clea,3651,2016-01-01 22:34:59.157271+00,United Kingdom,,0101000020E6100000F1182AE8320600C09199CCE6C8AF4A40,f,,2016-01-01 22:30:00+00,2016-01-01 22:45:00+00,f,,,,,,n,53.37331853,-2.003026785,,
2316,,,,,2016-01-02 07:39:13.942101+00,Canada,SK,0101000020E61000006D4AD25024125AC022B82D69FD3B4940,t,,2016-01-02 07:30:00+00,2016-01-02 07:30:00+00,f,,,,,,n,50.46867099,-104.2834665,gree,
2317,quie,n,,2390,2016-01-02 10:09:08.477548+00,Canada,AB,0101000020E6100000E4964D4BAF335CC0217C20A444BA4940,t,,2016-01-02 09:45:00+00,2016-01-02 10:00:00+00,f,,,,,,y,51.45521976,-112.8075741,gree,glow
2319,,,clea,,2016-01-03 00:07:00.338552+00,Iceland,South,0101000020E61000006046D184636534C0832ACDFEF9E84F40,f,,2016-01-03 00:00:00+00,2016-01-03 00:15:00+00,f,,,,,,n,63.82012925,-20.39604979,,
2320,quie,n,,2390,2016-01-03 08:01:43.361267+00,Canada,AB,0101000020E6100000F9AA686CD3335CC02D23D884A0B94940,t,,2016-01-03 07:30:00+00,2016-01-03 08:00:00+00,t,,,,,,y,51.45021115,-112.8097793,gree,glow
2321,quie,s45,,3155,2016-01-03 13:16:25.887045+00,Gr__nland,Qaasuitsup,0101000020E6100000256E03E1263B51C0C46A62F15B215340,t,,2016-01-03 13:00:00+00,2016-01-03 13:15:00+00,f,,,,,,n,76.52123675,-68.92424798,gree,glow
2322,acti,n,,1552,2016-01-03 16:55:10.403361+00,Canada,AB,0101000020E610000023EC90FBBE395CC03FDD4D6291CC4A40,t,,2016-01-03 05:00:00+00,2016-01-03 08:00:00+00,f,,,,,,y,53.59818677,-112.9022817,"red, gree",arcs
2323,acti,n45,,,2016-01-03 17:00:44.731239+00,Russia,Murmanskaya oblast',0101000020E6100000698A63E2FD8440409A8D1B5AD43C5140,t,,2016-01-03 16:45:00+00,2016-01-03 17:00:00+00,t,,,,,,n,68.95046094,33.03899793,gree,
2325,,,clea,2968,2016-01-03 19:15:25.701565+00,Suomi,,0101000020E610000091857E3EE7003740D52DCD2503DC4F40,f,,2016-01-03 19:00:00+00,2016-01-03 19:15:00+00,f,,,,,,n,63.71884606,23.00352851,,
2326,,,clea,,2016-01-03 19:25:08.144756+00,Finland,,0101000020E61000008825BFA4C0863B40E9E45BA595295140,f,,2016-01-03 19:15:00+00,2016-01-03 19:30:00+00,f,,,,,,n,68.64975866,27.52637701,,
2327,quie,n45,,3714,2016-01-03 20:51:40.552282+00,Finland,,0101000020E61000006CBC70B79CAF3940A96D1FF1339F5040,t,,2016-01-03 18:45:00+00,2016-01-03 20:00:00+00,f,,,,,,n,66.48754528,25.68598505,"red, gree",glow
2329,,s45,,510,2016-01-03 22:10:12.632592+00,Norge,Buskerud,0101000020E6100000422E1AF369DC23409D4DCBA4CADE4D40,t,,2016-01-03 22:00:00+00,2016-01-03 22:15:00+00,f,,,,,,n,59.7405592,9.930495831,gree,glow
2330,,,,,2016-01-03 22:41:11.020182+00,Danmark,,0101000020E61000006D5813FA765A2740BE7878C310DA4B40,f,,2016-01-03 22:30:00+00,2016-01-03 22:45:00+00,f,,,,,,n,55.70363658,11.67668897,,
2333,quie,n,,2019,2016-01-04 01:48:18.017884+00,United States,IA,0101000020E6100000CF6AFA7854F857C02E5662474DB54440,t,,2016-01-01 01:00:00+00,2016-01-01 01:30:00+00,f,,,,,,y,41.41642086,-95.8801558,"red, gree",arcs
2336,quie,n45,,,2016-01-04 19:04:05.862665+00,Norway,Troms,0101000020E610000048440171792B34406C839EEA2E645140,t,,2016-01-04 19:00:00+00,2016-01-04 19:45:00+00,t,,,,,,n,69.56536355,20.1698218,gree,arcs
2337,,,clea,3701,2016-01-04 21:22:55.254318+00,Finland,,0101000020E6100000FF003793F5BA394070427C20961E4F40,f,,2016-01-04 20:15:00+00,2016-01-04 21:15:00+00,f,,,,,,n,62.23895651,25.73030968,,
2338,quie,n,,731,2016-01-04 21:37:02.338906+00,Iceland,South,0101000020E61000005209E404362435C042C30313CF0E5040,t,,2016-01-04 21:30:00+00,2016-01-04 21:45:00+00,t,,,,,,n,64.23138881,-21.14144927,gree,glow
2341,,,clea,2968,2016-01-05 19:49:42.669167+00,Finlandia,,0101000020E610000040E1920E56E93640961A8D5DB5D64F40,f,,2016-01-05 19:30:00+00,2016-01-05 19:45:00+00,f,,,,,,n,63.67740983,22.91146937,,
2344,quie,n,,3442,2016-01-05 21:44:34.150192+00,Finland,,0101000020E610000055B8F43B4CAF3940E6880531A49E5040,t,,2016-01-05 19:30:00+00,2016-01-05 20:00:00+00,f,,,,,Sighting was done during Snowmobile safari - from Santa's Village into the woods,n,66.47877145,25.68475699,whit,arcs
2346,,,clea,127,2016-01-05 22:54:02.21423+00,Iceland,Capital Region,0101000020E6100000A71C9E4A2BF135C0D6173B239F075040,f,,2016-01-05 22:00:00+00,2016-01-05 23:00:00+00,f,,,,,mostly clear,n,64.11908799,-21.94206683,,
2347,acti,over,,127,2016-01-05 23:56:14.644479+00,Iceland,Capital Region,0101000020E6100000491C738EE6F735C09D6A3B1640085040,t,,2016-01-05 23:45:00+00,2016-01-05 23:45:00+00,t,,,,,few blip of motion visible by eye to northeast,n,64.12891155,-21.96836176,whit,
2348,acti,whol,,,2016-01-06 01:31:16.530059+00,Norway,Troms,0101000020E61000004DC189351F35344081753D25C6635140,t,,2016-01-06 00:30:00+00,2016-01-06 01:30:00+00,f,,,,,,n,69.55896884,20.20750746,"red, gree","glow, arcs, patc"
2349,,,clea,3179,2016-01-06 04:10:36.664023+00,United States,AK,0101000020E6100000ABCFFD92C5BD62C0988EBA056B994E40,f,,2016-01-05 14:00:00+00,2016-01-05 15:00:00+00,f,,,,,,n,61.19857856,-149.9303679,,
2350,quie,n,,2390,2016-01-06 08:36:42.899842+00,Canada,AB,0101000020E61000005F0C4F2E9B345CC034DEC5B7F1B84940,t,,2016-01-06 08:30:00+00,2016-01-06 08:45:00+00,f,,,,,,n,51.44487664,-112.8219715,gree,glow
2351,quie,n45,,,2016-01-06 13:04:34.558419+00,Canada,AB,0101000020E6100000942AFF90524B5CC07969C7C9D4C24A40,t,,2016-01-06 09:45:00+00,2016-01-06 10:30:00+00,f,,,,,,y,53.52211878,-113.1769145,gree,patc
2353,quie,whol,,,2016-01-06 20:18:44.699121+00,Norway,Troms,0101000020E6100000766C852AA8333440717E3B0FD0635140,t,,2016-01-06 19:45:00+00,2016-01-06 20:30:00+00,t,,,,,,n,69.55957394,20.20178476,gree,"glow, arcs, patc"
2355,,,clea,2968,2016-01-06 20:58:56.079349+00,Suomi,,0101000020E6100000FCF4EA60270237403E97F3EA10DD4F40,f,,2016-01-06 20:15:00+00,2016-01-06 20:45:00+00,f,,,,,,n,63.72707879,23.00841337,,
2356,acti,whol,,3805,2016-01-06 21:16:20.11949+00,Norway,Troms,0101000020E6100000F82D8C145F2C3440337801AFD9645140,t,,2016-01-06 20:30:00+00,2016-01-06 21:15:00+00,t,,,,,,n,69.57578635,20.17332581,"red, whit, gree","arcs, glow, patc"
2358,acti,whol,,2991,2016-01-06 21:33:13.807336+00,Norv_¶ge,Troms,0101000020E6100000422ABDC388AB324034DA044A206B5140,t,,2016-01-06 20:30:00+00,2016-01-06 21:30:00+00,f,,,Few red too,,,n,69.67384577,18.67005561,gree,arcs
2360,,,clea,3810,2016-01-07 05:36:02.251123+00,United States,AK,0101000020E610000031A67D4D65AE62C066262B9DF8C74E40,f,,2016-01-07 05:15:00+00,2016-01-07 05:30:00+00,f,,,,,,n,61.5622746,-149.4498661,,
2361,quie,n45,,2991,2016-01-07 19:10:01.71892+00,Norv_¶ge,Troms,0101000020E6100000977A5D86BEB83240CFB00A9DB76A5140,t,,2016-01-07 19:00:00+00,2016-01-07 19:15:00+00,t,,,,,,n,69.66745688,18.72165718,gree,arcs
2362,,,,3816,2016-01-07 19:27:10.56515+00,Nederland,NH,0101000020E6100000E12116410E3314400032689159274A40,f,,2016-01-07 19:15:00+00,2016-01-07 19:30:00+00,f,,,,,,n,52.3074209,5.049859063,,
2364,quie,n,,,2016-01-08 09:21:51.277052+00,United States,AK,0101000020E61000006AA882FEDEC362C0822B5679EB274F40,t,,2016-01-08 09:15:00+00,2016-01-08 09:30:00+00,t,,,,,,n,62.3118736,-150.120971,gree,"glow, arcs"
2365,,,clea,,2016-01-08 15:36:23.856469+00,Norway,M__re og Romsdal,0101000020E61000005CA3384D916F1840EBB091BEEE3A4F40,f,,2016-01-08 15:30:00+00,2016-01-08 15:45:00+00,f,,,,,"As observed from 30,000'. ",n,62.4604109,6.108952719,,
2367,very,over,,,2016-01-09 00:09:41.683221+00,Canada,NL,0101000020E6100000F89766D9C1BA50C078F0BEB338764A40,t,,2015-12-31 19:00:00+00,2015-12-31 20:45:00+00,f,,,,,,n,52.92360541,-66.91808162,"whit, gree, pink","arcs, glow"
2369,,,clea,3179,2016-01-09 04:35:12.164607+00,United States,AK,0101000020E61000000CE0C37317BE62C054826DB5929A4E40,f,,2016-01-08 14:00:00+00,2016-01-08 14:30:00+00,f,,,,,,n,61.20760219,-149.9403628,,
2370,quie,n,,,2016-01-09 05:57:05.567713+00,Canada,NT,0101000020E61000000C8DFDB341985CC0BCDD143D11384F40,t,,2016-01-09 05:45:00+00,2016-01-09 06:45:00+00,f,,,,,,n,62.43802608,-114.3790102,gree,glow
2373,acti,,,,2016-01-10 02:20:24.188125+00,Iceland,Capital Region,0101000020E6100000473C67CB49D535C093871C79B4075040,t,,2016-01-09 23:00:00+00,2016-01-10 00:00:00+00,f,,,,,,n,64.1203902,-21.83315727,gree,patc
2376,,,,,2016-01-10 13:51:13.944495+00,United States,CT,0101000020E6100000E45850A1C56252C008111988AE844440,f,,2016-01-10 13:30:00+00,2016-01-10 13:45:00+00,f,,,,,,n,41.03657628,-73.54331239,,
2378,acti,n,,731,2016-01-10 21:07:55.973467+00,Iceland,Capital Region,0101000020E6100000199C7A7678D735C0F1A726589D075040,t,,2016-01-10 21:00:00+00,2016-01-10 21:15:00+00,t,,,,,,n,64.11897854,-21.84168187,gree,"glow, arcs"
2379,,,clea,1429,2016-01-11 02:08:03.197045+00,Canada,AB,0101000020E61000007E1F1A264F825CC02F6515874C8A4940,f,,2016-01-10 17:00:00+00,2016-01-10 17:15:00+00,f,,,,,,n,51.08046044,-114.0360809,,
2381,quie,,,216,2016-01-11 07:52:46.852911+00,__Ñ_¶Å,Troms,0101000020E6100000E176D13A65E6324093944742BB695140,t,,2016-01-10 20:00:00+00,2016-01-11 00:45:00+00,f,,,,,,y,69.65205438,18.89998214,gree,glow
2382,quie,whol,,,2016-01-11 07:53:48.047395+00,Canada,NT,0101000020E61000004C5805CA3B645FC006ECAA676C395040,t,,2016-01-11 07:45:00+00,2016-01-11 08:00:00+00,f,,,,,,n,64.89724151,-125.5661492,gree,arcs
2383,quie,n,,,2016-01-11 21:48:41.248705+00,United Kingdom,,0101000020E61000005236E32481F0F5BF192E3787843E4E40,t,,2016-01-11 19:00:00+00,2016-01-11 19:30:00+00,f,,,,,,n,60.48841944,-1.371216911,gree,arcs
2384,,over,,216,2016-01-12 01:44:57.539624+00,__Ñ_¶Å,Troms,0101000020E610000040E65BBD5DF03240DE2B22B747685140,t,,2016-01-11 05:30:00+00,2016-01-11 23:00:00+00,f,,,,,,n,69.62937716,18.93893035,gree,"glow, arcs"
2385,,,clea,,2016-01-12 02:41:06.242069+00,Canada,QC,0101000020E6100000601D074843CD51C03D3E06A359654740,f,,2016-01-12 02:30:00+00,2016-01-12 02:45:00+00,f,,,,,,n,46.791798,-71.20723153,,
2387,,,clea,,2016-01-12 09:38:54.391955+00,United Kingdom,,0101000020E610000065EA7DF791BFF9BF117C1420B1B14A40,f,Clear with some cloud,2016-01-11 22:00:00+00,2016-01-11 22:15:00+00,f,,,,,,n,53.38821794,-1.609270064,,
2388,quie,over,,2968,2016-01-12 19:54:44.508521+00,Suomi,,0101000020E6100000ABE133EEF4FD3640DCA660CD5EDA4F40,t,,2016-01-12 19:30:00+00,2016-01-12 20:00:00+00,t,,,,,,n,63.70601814,22.99201859,whit,arcs
2391,,,clea,,2016-01-13 02:26:40.166158+00,Malaysia,Wilayah Persekutuan Kuala Lumpur,0101000020E6100000EA4CD0B6B56B5940F146F69D05FE0840,f,,2016-01-13 02:15:00+00,2016-01-13 02:30:00+00,f,,,,,,n,3.124034151,101.6829659,,
2394,quie,n,,,2016-01-13 05:01:44.418957+00,Canada,ON,0101000020E61000005C2B8A4AB7F253C0821693DA78884740,t,,2016-01-13 05:00:00+00,2016-01-13 05:15:00+00,t,,,,,,n,47.06618817,-79.79243721,"gree, pink",arcs
2395,quie,n,,1552,2016-01-13 06:13:28.986324+00,Canada,AB,0101000020E6100000B2ADCCF52E695CC0F4CAA7A940D04A40,t,,2016-01-13 04:00:00+00,2016-01-13 04:15:00+00,t,,,,,Very low on north horizon,y,53.62697335,-113.6434912,gree,glow
2396,quie,n,,,2016-01-13 15:17:49.208987+00,Canada,AB,0101000020E610000099BFECF2294A5CC07DD848E8D6C34A40,t,,2016-01-13 03:30:00+00,2016-01-13 04:30:00+00,f,,,,,,n,53.52999595,-113.1588104,gree,glow
2403,,,clea,3179,2016-01-16 05:08:25.074424+00,United States,AK,0101000020E610000096896AD013BE62C0FC1E90274E9B4E40,f,,2016-01-15 14:00:00+00,2016-01-15 14:30:00+00,f,,,,,,n,61.21332259,-149.9399187,,
2404,,,clea,3847,2016-01-16 20:07:06.52661+00,Finnland,,0101000020E6100000AC3DA118CAC4384085F7F6DC17F35040,f,,2016-01-16 20:00:00+00,2016-01-16 20:15:00+00,f,,,,,,n,67.79833149,24.76870874,,
2407,,,clea,,2016-01-16 23:25:05.769379+00,Nederland,GE,0101000020E6100000F1BDD1FA39911640EA659CE37BFB4940,f,,2016-01-16 23:15:00+00,2016-01-16 23:30:00+00,f,,,,,,n,51.9647183,5.641822738,,
2408,,,clea,3179,2016-01-17 03:27:44.479072+00,United States,AK,0101000020E61000001F2226D0A1BD62C01A33090C689A4E40,f,,2016-01-16 14:00:00+00,2016-01-16 14:30:00+00,f,,,,,,n,61.20630026,-149.9260026,,
2409,,,,,2016-01-17 10:37:54.418017+00,_ù_êã_,ME,0101000020E6100000C8A3E8A638A451C0F8980E974A194640,t,,2016-01-17 10:30:00+00,2016-01-17 10:45:00+00,f,,,,,,n,44.19758881,-70.56595776,,
2410,,,clea,,2016-01-17 20:38:34.794408+00,Finland,,0101000020E6100000C580920A3CDA38407A7D5C518AF15040,f,,2016-01-17 19:45:00+00,2016-01-17 20:00:00+00,f,,,,,,n,67.77406725,24.85247866,,
2412,,,clea,3847,2016-01-18 20:28:08.333712+00,Finnland,,0101000020E610000085155EC72EBD3840EBC5ED6B49F25040,f,,2016-01-18 20:15:00+00,2016-01-18 20:30:00+00,f,,,,,,n,67.7857313,24.73899504,,
2413,quie,n,,731,2016-01-18 23:10:35.468571+00,Iceland,Southern Peninsula,0101000020E610000046902F3F499336C078DAFFEFAEFE4F40,t,,2016-01-18 23:00:00+00,2016-01-18 23:15:00+00,t,,,,,,n,63.98971367,-22.57533641,gree,arcs
2414,,,clea,,2016-01-18 23:12:42.853568+00,Finland,,0101000020E6100000DEB4588289D738409C66BE2D08F25040,f,,2016-01-18 23:00:00+00,2016-01-18 23:15:00+00,f,,,,,,n,67.78174919,24.84194197,,
2415,quie,n,,,2016-01-19 02:45:24.647549+00,United States,AK,0101000020E6100000E0560C46437B62C0AE15BA2E44395040,t,,2016-01-19 02:30:00+00,2016-01-19 02:45:00+00,f,,,,,"Faint still, but clearly visible.",n,64.89478653,-147.8519621,whit,glow
2416,,,clea,,2016-01-19 03:20:15.377681+00,Canada,AB,0101000020E6100000036D0E0B01845CC043C721B8ADA44940,f,,2016-01-19 02:45:00+00,2016-01-19 03:00:00+00,f,,,,,,n,51.28655149,-114.0625637,,
2417,,,clea,,2016-01-19 03:30:38.623091+00,Canada,AB,0101000020E61000007A330D22EACB5BC0AEDFF37B711B4940,f,,2016-01-19 03:15:00+00,2016-01-19 03:30:00+00,f,,,,,,n,50.21440076,-111.1861653,,
2418,,,clea,3857,2016-01-19 03:37:02.571678+00,Canada,AB,0101000020E61000007F36C626AA855CC044DAA13DF5854940,f,,2016-01-19 03:30:00+00,2016-01-19 03:30:00+00,f,,,,,,n,51.04654665,-114.0885102,,
2419,,,,3858,2016-01-19 03:38:34.74707+00,Canada,AB,0101000020E610000017571A3BAF755CC0CFEC151127204A40,f,"Clear, partly cloudy. ",2016-01-19 03:30:00+00,2016-01-19 03:45:00+00,f,,,,,,n,52.25119222,-113.8388202,,
2421,,,clea,3855,2016-01-19 04:15:31.768778+00,Canada,AB,0101000020E61000009A4F68F230CB5BC0A9CCCB5E80214940,f,,2016-01-19 04:00:00+00,2016-01-19 04:15:00+00,f,,,,,,n,50.26173005,-111.1748625,,
2422,,,,,2016-01-19 04:17:30.140415+00,Canada,QC,0101000020E6100000D2B024D8312251C03FBD2D1EF8374840,f,,2016-01-19 04:15:00+00,2016-01-19 04:30:00+00,f,,,,,,n,48.43725946,-68.53429226,,
