"verified_type, twitter id, observation id",text,user_screen_name,st_y,st_x,location_full_name,location_country,created_at,Total Votes,Score
"(pos,682727973166923776,682727973166923776)",Managed a decent shot or two of the New Year___s Eve #aurora before the cloud came in! Happy New Year! #lancashire https://t.co/DriJ53XTIf,stonegnome,53.82231108,-2.526880866,"Lancashire, ENG",United Kingdom,2016-01-01 01:00:07+00,2,2
"(pos,682727983363129345,682727983363129345)","Still in #ColdLake #Alberta! Family time at French Bay campground with no one around! And yes, #northernlights! https://t.co/MH5rHaelWN",Tyson_Dolynny,52.25907833,-117.4702617,"Alberta, 01",Canada,2016-01-01 01:00:10+00,2,2
"(pos,682727998219530240,682727998219530240)",@Aurora_Alerts great show welcomed in the new year looking north from #Assynt,DougMcAdam,58.16891985,-5.062636663,"Loch Assynt, SCT",United Kingdom,2016-01-01 01:00:13+00,4,2
"(pos,682728201118990336,682728201118990336)","@VirtualAstro over Caernarfon, North Wales around midnight! #aurora https://t.co/bWmH3xSfOJ",neilthomas,53.11750122,-4.284873569,"Caernarfon, WLS",United Kingdom,2016-01-01 01:01:02+00,2,2
"(pos,682728760387481600,682728760387481600)","#Aurora very active in North Dakota! Kenmare, Dunseith, and Bottineau DOT cams showing vivid lights #ndwx #cloudyGFK https://t.co/d0oXS6QTX9",northflwx,47.49762968,-100.0188315,"North Dakota, ND",United States,2016-01-01 01:03:15+00,2,2
"(pos,682729040243998720,682729040243998720)",@TamithaSkov @PC0101 @890553bfa967450 @spark8021 @grniz2 Barely getting dark and the #aurora show begins in #Alberta https://t.co/z140CKZMw4,LaoneHuman,52.26496545,-117.4709972,"Alberta, 01",Canada,2016-01-01 01:04:22+00,2,2
"(pos,682729310218620928,682729310218620928)",Aurora is out Central Alberta now!!!! #Aurora #teamtanner @treetanner @TamithaSkov @eljakeo30 @AuroraNotify @wwxchaser @MargeauxMorin,dartanner,52.26969735,-117.4903287,"Alberta, 01",Canada,2016-01-01 01:05:26+00,2,2
"(pos,682729516402278400,682729516402278400)",Moderately bright featureless #aurora band low in NNE sky visible outside #Calgary. @TweetAurora @AuroraMAX @TamithaSkov @660NEWS @ratzlaff,CalgaryRASC,51.02681618,-114.0915487,"Calgary, 01",Canada,2016-01-01 01:06:15+00,2,2
"(pos,682730107899908097,682730107899908097)",@Metoffice Managed a decent shot of tonight's #aurora before the cloud came in! Happy New Year! #lancashire https://t.co/DriJ53XTIf,stonegnome,53.81675615,-2.521087408,"Lancashire, ENG",United Kingdom,2016-01-01 01:08:36+00,2,2
"(pos,682731270070235138,682731270070235138)","No pic, but aurora visible from Inverleith Park in Edinburgh as the crowd gathered to watch the castle new year fireworks. @aurorawatchuk",redfellterrier,55.94943109,-3.211738651,"Edinburgh, SCT",United Kingdom,2016-01-01 01:13:13+00,2,2
"(pos,682732327546568704,682732327546568704)",@Ross_Hutchinson Happy New Year! Here is the Aurora with the Milky Way from #birdoswald tonight. https://t.co/81o4Xk8tXt,he1entuck,54.98659128,-2.612630297,"Chapelfield Birdoswald, ENG",United Kingdom,2016-01-01 01:17:26+00,2,2
"(pos,682733150796144640,682733150796144640)",the nothern lights are live over cold lake alberta #NorthernLights #aurora #coldlakeab,kirastorm,52.27198904,-117.4691033,"Alberta, 01",Canada,2016-01-01 01:20:42+00,2,2
