st_y,st_x,country,time,see_aurora
69.96444887,23.26957543,Norway,2015-03-17T19:18:47Z,1
60.23547199,24.66304236,Finland,2015-03-17T19:25:20Z,1
60.15684398,24.89564797,Finland,2015-03-17T19:25:35Z,1
61.69718582,23.70157748,Finland,2015-03-17T19:44:12Z,1
60.92437678,26.67921356,Suomi,2015-03-17T19:57:48Z,1
59.42859449,24.70318945,Eesti,2015-03-17T19:59:13Z,1
54.66634247,-5.652737018,United Kingdom,2015-03-17T19:59:45Z,1
61.99976285,14.96204396,Sweden,2015-03-17T20:13:51Z,1
57.58172419,-6.358306304,United Kingdom,2015-03-17T20:22:32Z,1
59.3251606,17.92684409,Sverige,2015-03-17T20:26:39Z,1
52.4257658,-4.035027961,United Kingdom,2015-03-17T20:51:29Z,1
56.99770963,24.96540264,Latvia,2015-03-17T20:54:57Z,1
52.46399216,-1.92298226,United Kingdom,2015-03-17T21:07:14Z,1
57.22336785,-7.353738261,United Kingdom,2015-03-17T21:11:12Z,1
59.99802279,17.74589296,Sweden,2015-03-17T21:31:46Z,1
46.99967314,19.98260985,Hungary,2015-03-17T21:34:12Z,1
52.6630907,0.97134279,United Kingdom,2015-03-17T21:35:58Z,1
45.8982406,15.92867186,Croatia,2015-03-17T21:36:32Z,1
61.0957251,26.00779399,Suomi,2015-03-17T21:39:28Z,1
65.19580489,25.96922486,Finland,2015-03-17T21:46:13Z,1
60.15868655,24.9152507,Finland,2015-03-17T21:52:44Z,1
64.13431943,-21.89949782,Iceland,2015-03-17T21:54:48Z,1
64.2251752,-21.43607445,Ìsland,2015-03-17T22:08:02Z,1
54.64771259,-5.68244788,United Kingdom,2015-03-17T22:17:41Z,1
53.65419132,-5.008420567,No Man's Land,2015-03-17T22:19:07Z,1
64.14031672,-21.97111232,Ìsland,2015-03-17T22:35:35Z,1
63.5107013,-19.51612357,Ìsland,2015-03-17T22:37:14Z,1
53.53635905,-2.095213354,United Kingdom,2015-03-17T22:47:13Z,1
54.158202,-1.518141054,United Kingdom,2015-03-17T22:49:00Z,1
53.64676743,-1.445784304,United Kingdom,2015-03-17T23:04:01Z,1
55.19837341,-6.610251759,United Kingdom,2015-03-17T23:14:14Z,1
54.24497739,-8.691990151,Ireland,2015-03-17T23:18:43Z,1
60.15700341,24.92835498,Finland,2015-03-17T23:21:14Z,1
63.9805961,25.99516455,Finland,2015-03-17T23:22:11Z,1
60.89960551,26.58616396,Suomi,2015-03-17T23:23:20Z,1
54.48277575,-6.537010851,United Kingdom,2015-03-17T23:26:35Z,1
54.48459734,-3.199443594,United Kingdom,2015-03-17T23:54:11Z,1
59.99123824,17.7143966,Sweden,2015-03-17T23:54:26Z,1
55.76910642,-6.244881708,United Kingdom,2015-03-17T23:54:31Z,1
59.33797478,18.04035942,Sverige,2015-03-18T00:21:33Z,1
54.96447359,-2.367830301,United Kingdom,2015-03-18T00:34:09Z,1
44.66314773,-79.34518495,Canada,2015-03-18T00:38:08Z,1
60.1899304,11.0738853,Norway,2015-03-18T00:38:08Z,1
58.18233587,-6.275373337,United Kingdom,2015-03-18T00:40:09Z,1
44.49746766,-90.01473682,United States,2015-03-18T01:04:55Z,1
44.49247331,-90.01339301,United States,2015-03-18T01:16:05Z,1
44.20498247,-80.94781964,Canada,2015-03-18T01:17:35Z,1
44.47005257,-78.89285168,Canada,2015-03-18T01:19:59Z,1
-46.1766819,169.8059912,New Zealand,2015-03-18T01:22:38Z,1
44.11528239,-77.97819088,Canada,2015-03-18T01:24:04Z,1
45.40131744,-75.7137275,Canada,2015-03-18T01:28:56Z,1
43.74038604,-78.02046568,Canada,2015-03-18T01:29:24Z,1
44.98576083,-73.47376676,United States,2015-03-18T01:31:15Z,1
50.73198722,-115.0997393,Canada,2015-03-18T01:33:51Z,1
49.2383821,-84.52134803,Canada,2015-03-18T01:34:55Z,1
43.91318172,-79.71876192,Canada,2015-03-18T01:36:29Z,1
40.25789043,-76.93629645,United States,2015-03-18T01:38:47Z,1
43.66676458,-84.09605201,United States,2015-03-18T01:39:07Z,1
43.07195736,-87.88514,United States,2015-03-18T01:43:47Z,1
43.05991891,-89.4022077,United States,2015-03-18T01:53:13Z,1
41.66468851,-70.27625372,United States,2015-03-18T01:54:27Z,1
43.88841186,-78.59412995,Canada,2015-03-18T02:09:14Z,1
55.3624286,-7.424810133,Ireland,2015-03-18T02:13:55Z,1
41.73281873,-71.52760525,United States,2015-03-18T02:15:05Z,1
44.39996529,-79.73570488,Canada,2015-03-18T02:15:44Z,1
40.94214147,-81.51047943,United States,2015-03-18T02:18:16Z,1
44.477278,-90.03337591,United States,2015-03-18T02:25:26Z,1
44.23424026,-85.5050825,United States,2015-03-18T02:25:36Z,1
42.08980133,-78.45026164,United States,2015-03-18T02:27:32Z,1
52.32296534,0.079795687,United Kingdom,2015-03-18T02:28:23Z,1
45.15823313,-93.09077054,United States,2015-03-18T02:29:40Z,1
45.15181048,-93.09759822,United States,2015-03-18T02:30:27Z,1
43.07161683,-89.41143676,United States,2015-03-18T02:32:58Z,1
46.78012126,-92.48095032,United States,2015-03-18T02:35:05Z,1
48.38114991,-89.27525724,Canada,2015-03-18T02:35:59Z,1
44.23270671,-85.52548263,United States,2015-03-18T02:36:01Z,1
43.96950089,-79.72015209,Canada,2015-03-18T02:37:48Z,1
45.41032354,-75.70148921,Canada,2015-03-18T02:44:41Z,1
43.06927769,-89.424991,United States,2015-03-18T02:46:54Z,1
51.46884001,-78.77240007,Canada,2015-03-18T02:50:00Z,1
40.65317165,-73.5862384,United States,2015-03-18T03:37:47Z,1
57.73851134,-105.0590239,Canada,2015-03-18T03:40:01Z,1
39.89462381,-75.40448809,United States,2015-03-18T03:49:03Z,1
45.40283837,-75.7263115,Canada,2015-03-18T04:29:53Z,1
53.46724604,-113.5400856,Canada,2015-03-18T04:40:34Z,1
49.6364126,-125.4717931,Canada,2015-03-18T04:54:43Z,1
44.12120772,-79.31866112,Canada,2015-03-18T04:57:51Z,1
49.23450613,-123.128055,Canada,2015-03-18T04:59:07Z,1
41.86845129,-103.6959607,United States,2015-03-18T05:00:24Z,1
51.44973189,-112.7217436,Canada,2015-03-18T05:08:23Z,1
61.3019822,-149.5436482,United States,2015-03-18T05:17:44Z,1
56.71029927,-111.3977624,Canada,2015-03-18T06:41:17Z,1
53.54159131,-113.4829128,Canada,2015-03-18T06:46:57Z,1
61.29981994,-149.5714259,United States,2015-03-18T09:10:07Z,1
44.67007515,-79.33791845,Canada,2015-03-19T02:01:20Z,1
49.75833533,-97.51853824,Canada,2015-03-19T02:18:33Z,1
43.69640421,-79.44099315,Canada,2015-03-19T02:24:09Z,1
45.4282087,-85.00410321,United States,2015-03-19T03:12:38Z,1
52.45790112,-114.0713871,Canada,2015-03-19T03:54:22Z,1
52.38498637,-113.3498483,Canada,2015-03-19T04:08:32Z,1
53.60671627,-113.6148484,Canada,2015-03-19T04:29:38Z,1
53.54396431,-113.4754908,Canada,2015-03-19T04:33:20Z,1
52.38050288,-113.791494,Canada,2015-03-19T04:35:11Z,1
64.05319044,-139.465614,Canada,2015-03-19T06:51:32Z,1
51.05047172,-114.1049222,Canada,2015-03-19T07:33:12Z,1
51.15890994,-114.1638217,Canada,2015-03-19T07:39:42Z,1
50.58097402,-111.8943572,Canada,2015-03-19T08:41:58Z,1
53.5426336,-113.4848718,Canada,2015-03-19T12:30:12Z,1
63.95498628,-22.62159431,Ìsland,2015-03-20T01:24:05Z,1
61.2139095,-149.9121827,United States,2015-03-20T06:20:20Z,1
60.92466591,-149.1874409,United States,2015-03-20T06:36:41Z,1
67.28558763,14.56522965,Norge,2015-03-20T22:34:27Z,1
69.63691179,18.9771391,Norge,2015-03-20T22:38:49Z,1
50.69492069,5.359059236,Belgium,2015-03-21T00:47:08Z,1
